bairro,price_per_m2_mean,price_per_m2_median,price_per_m2_std,price_per_m2_min,price_per_m2_max,price_per_m2_count,price_num_mean,price_num_median,area_mean,area_median
Íris,130000.0,130000.0,,130000.0,130000.0,1,1300000.0,1300000.0,10.0,10.0
Carvoeira,27333.33,27333.33,,27333.33,27333.33,1,410000.0,410000.0,15.0,15.0
Morro Das Pedras,20301.08,20301.08,,20301.08,20301.08,1,1888000.0,1888000.0,93.0,93.0
Flor,13321.8,13321.8,,13321.8,13321.8,1,3850000.0,3850000.0,289.0,289.0
Campeche,12632.61,10314.75,8492.27,38.24,28469.39,12,1293875.0,1347500.0,140.5,162.5
Cacupe,11583.33,11583.33,,11583.33,11583.33,1,6950000.0,6950000.0,600.0,600.0
Ponta Das Canas,11250.0,11250.0,,11250.0,11250.0,1,4500000.0,4500000.0,400.0,400.0
Rio Tavares,11016.67,11016.67,5044.03,7450.0,14583.33,2,1445000.0,1445000.0,148.0,148.0
Santo Antônio De Lisboa,10567.57,10567.57,14753.69,135.14,21000.0,2,424250.0,424250.0,51.45,51.45
Santinho,10555.56,10555.56,,10555.56,10555.56,1,950000.0,950000.0,90.0,90.0
Pedra Branca,9947.86,10000.0,3382.76,45.71,15229.89,23,1462082.61,1250000.0,144.26,98.0
Canasvieiras,9553.53,10489.13,6859.38,569.17,16666.67,4,4262500.0,4575000.0,3467.75,331.0
Vargem Do Bom Jesus,9137.93,9137.93,,9137.93,9137.93,1,530000.0,530000.0,58.0,58.0
Cachoeira Do Bom Jesus,8321.08,8321.08,2928.95,6250.0,10392.16,2,590000.0,590000.0,77.5,77.5
Pagani,8102.71,8042.2,3114.0,1951.78,12111.11,8,888748.75,792500.0,184.62,87.5
Ponta De Baixo,7650.35,5500.0,4760.62,4344.26,13106.8,3,1135000.0,440000.0,115.67,80.0
Ingleses,7618.98,6958.18,3135.31,3583.06,19538.14,30,1089550.98,844500.0,144.59,122.0
Floresta,7387.14,8510.68,2559.87,3561.64,8965.55,4,1997421.75,1394465.5,391.75,159.0
Praia Do Sonho (Ens Brito),7362.86,6696.43,1950.11,5833.33,9558.82,3,1050000.0,750000.0,160.0,112.0
Rio Caveiras,7198.7,6111.11,2228.27,5723.08,9761.9,3,580666.67,550000.0,79.67,84.0
Campinas,6966.69,7479.5,4247.2,26.59,13423.42,14,736635.71,680000.0,127.84,107.0
São João Do Rio Vermelho,6728.26,6728.26,,6728.26,6728.26,1,619000.0,619000.0,92.0,92.0
Praia João Rosa,6641.79,6641.79,,6641.79,6641.79,1,445000.0,445000.0,67.0,67.0
Itacorubi,6624.32,5229.8,7120.47,41.67,14634.15,8,459250.0,296250.0,73.12,65.5
Praia De Fora,6621.28,7125.76,2926.74,2954.12,11016.95,6,632498.33,602500.0,113.85,108.0
Ingleses Do Rio Vermelho,6584.25,8048.78,5951.41,37.29,11666.67,3,517263.33,560000.0,73.0,48.0
Rio Vermelho,6417.73,6442.61,2214.24,3255.32,13636.36,22,878104.55,689500.0,133.05,116.0
Coloninha,6357.14,6357.14,,6357.14,6357.14,1,890000.0,890000.0,140.0,140.0
Vendaval,5769.23,5769.23,,5769.23,5769.23,1,300000.0,300000.0,52.0,52.0
Vargem Grande,5745.84,7377.05,3864.37,1333.33,8527.13,3,676666.67,480000.0,183.33,129.0
Kobrasol,5388.37,7237.62,3571.8,41.43,8657.89,14,455810.0,349000.0,84.07,60.5
Nossa Senhora Do Rosário,5354.1,6337.38,2800.91,42.2,7702.7,6,602581.67,534000.0,111.33,76.5
Distrito Industrial,5241.38,5241.38,,5241.38,5241.38,1,760000.0,760000.0,145.0,145.0
Maciambú (Ens Brito),5232.56,5232.56,,5232.56,5232.56,1,450000.0,450000.0,86.0,86.0
Ponte Do Imaruim,5215.15,5200.0,3573.22,27.78,9090.91,5,1644800.0,1400000.0,469.2,364.0
Beira Rio,5088.26,6424.58,2900.24,1933.33,8484.85,5,910900.0,1150000.0,172.0,165.0
Forquilhinha,5021.74,5021.74,30.74,5000.0,5043.48,2,349000.0,349000.0,69.5,69.5
Canto,4915.53,6246.23,3275.54,86.72,7082.93,4,340693.75,422500.0,59.75,67.14
Passa Vinte,4889.48,6865.67,4237.38,25.0,7777.78,3,636000.0,460000.0,722.33,180.0
Jardim Cidade De Florianópolis,4870.67,5727.85,3580.68,31.67,9768.17,10,572780.0,597500.0,219.84,80.5
Forquilhas,4583.84,5106.38,3550.39,30.97,10000.0,9,289697.78,245000.0,77.77,54.0
Coqueiros,4579.77,56.25,6898.94,24.34,18243.24,8,627267.5,6995.0,133.96,89.5
Saco Dos Limões,4552.91,4552.91,6315.98,86.84,9018.99,2,1426650.0,1426650.0,177.0,177.0
Bom Viver,4441.65,5197.74,2311.18,347.67,5882.35,5,755000.0,245000.0,1297.66,46.0
Trindade,4388.34,125.0,8225.8,38.75,23327.78,37,228518.59,4900.0,75.36,44.0
Jardim Eldorado,4224.96,5404.17,2584.29,25.01,7575.76,8,950983.0,615000.0,498.06,232.5
Jardim Janaina,4156.77,5609.76,2712.57,1027.22,5833.33,3,976666.67,700000.0,702.67,120.0
Centro,4150.09,82.09,6080.71,21.81,22448.98,90,384706.31,6585.0,94.12,68.5
Real Parque,4052.46,4052.46,1892.46,2714.29,5390.62,2,647500.0,647500.0,207.0,207.0
101,4023.25,4023.25,5661.85,19.71,8026.79,2,452950.0,452950.0,231.0,231.0
Areias,4001.19,4100.0,4127.75,24.57,12500.0,15,411995.47,310000.0,250.13,62.0
Bela Vista,3876.89,5264.17,2604.58,29.45,6829.27,16,334842.5,274500.0,155.74,69.0
Serraria,3795.04,5118.18,3241.27,23.11,7364.05,8,232923.75,280000.0,116.52,60.45
São Sebastião,3755.19,4245.9,2294.64,29.81,5782.31,5,358110.0,280000.0,86.4,61.0
Barreiros,3587.92,56.59,4486.87,20.0,12307.69,33,315192.67,2690.0,72.96,60.0
Potecas,3498.77,3036.51,3809.15,23.08,8876.4,6,295915.0,260000.0,134.17,83.0
