cidade,bairro,price_per_m2_mean,price_per_m2_median,price_per_m2_std,price_per_m2_min,price_per_m2_max,price_per_m2_count,price_num_mean,price_num_median,area_mean,area_median
Florianópolis,Beira Mar,49152.26,49152.26,,49152.26,49152.26,1,11944000.0,11944000.0,243.0,243.0
Florianópolis,Jurerê Internacional,25802.28,25802.28,4501.77,22619.05,28985.51,2,4900000.0,4900000.0,187.5,187.5
Florianópolis,Canasvieiras,12572.46,12572.46,5790.08,8478.26,16666.67,2,4575000.0,4575000.0,331.0,331.0
Florianópolis,Cacupé,12154.7,12154.7,,12154.7,12154.7,1,2200000.0,2200000.0,181.0,181.0
Florianópolis,Ingleses Norte,11688.31,11688.31,,11688.31,11688.31,1,900000.0,900000.0,77.0,77.0
Florianópolis,Ponta Das Canas,11250.0,11250.0,,11250.0,11250.0,1,4500000.0,4500000.0,400.0,400.0
Florianópolis,Santinho,10555.56,10555.56,,10555.56,10555.56,1,950000.0,950000.0,90.0,90.0
Florianópolis,Rio Tavares,9408.6,9408.6,,9408.6,9408.6,1,1750000.0,1750000.0,186.0,186.0
Florianópolis,Vargem Grande,7377.05,7377.05,,7377.05,7377.05,1,450000.0,450000.0,61.0,61.0
Florianópolis,Ingleses,7240.26,6493.33,3195.87,3583.06,19538.14,26,1090289.6,840000.0,148.22,130.5
Florianópolis,Canto,6428.44,6473.13,635.02,5684.59,7082.93,4,615000.0,505000.0,96.55,72.71
Florianópolis,Rio Vermelho,6402.94,6414.63,2267.81,3255.32,13636.36,21,890442.86,690000.0,135.0,122.0
Florianópolis,Coloninha,6357.14,6357.14,,6357.14,6357.14,1,890000.0,890000.0,140.0,140.0
Palhoça,Nova Palhoça,6024.82,6024.82,,6024.82,6024.82,1,417520.0,417520.0,69.3,69.3
Biguaçu,Bom Viver,5777.07,5777.07,148.89,5671.79,5882.35,2,235000.0,235000.0,40.66,40.66
Palhoça,Pagani,5764.71,5764.71,,5764.71,5764.71,1,490000.0,490000.0,85.0,85.0
Biguaçu,Rio Caveiras,5723.08,5723.08,,5723.08,5723.08,1,372000.0,372000.0,65.0,65.0
São José,Campinas,5598.03,8735.63,5097.74,26.59,9852.22,5,312560.0,190000.0,126.66,60.9
Palhoça,Jardim Eldorado,5293.63,5293.63,,5293.63,5293.63,1,320000.0,320000.0,60.45,60.45
Palhoça,Maciambú (Ens Brito),5232.56,5232.56,,5232.56,5232.56,1,450000.0,450000.0,86.0,86.0
Palhoça,Praia De Fora,5090.16,5090.16,3020.82,2954.12,7226.2,2,729995.0,729995.0,148.05,148.05
São José,Forquilhinha,5000.0,5000.0,,5000.0,5000.0,1,350000.0,350000.0,70.0,70.0
São José,Jardim Cidade De Florianópolis,4901.51,4901.51,6882.5,34.84,9768.17,2,375900.0,375900.0,64.22,64.22
São José,Flor De Napolis,4141.92,4141.92,,4141.92,4141.92,1,265000.0,265000.0,63.98,63.98
São José,Areias,3651.28,2625.76,4357.24,26.67,12500.0,8,362542.75,345000.0,115.5,66.99
São José,Serraria,3540.38,4846.53,3334.47,30.88,7364.05,5,190760.0,260000.0,55.64,52.96
Florianópolis,Capoeiras,3369.95,2227.82,3587.68,27.23,10451.98,52,621556.35,212500.0,142.73,75.56
São José,Real Parque,2714.29,2714.29,,2714.29,2714.29,1,950000.0,950000.0,350.0,350.0
São José,Roçado,2677.22,868.04,3871.68,41.32,7122.3,3,513963.33,550000.0,272.78,139.0
Palhoça,Centro,2359.2,41.66,4019.06,35.93,7000.0,3,212466.33,4999.0,92.27,90.0
São José,Ipiranga,2313.29,2191.74,2638.84,32.11,4837.6,4,146272.5,141445.0,69.72,65.5
São José,Forquilhas,2244.14,34.77,3830.02,30.97,6666.67,3,121096.67,1790.0,51.65,54.0
Florianópolis,Estreito,2173.73,41.3,3847.15,25.44,8966.45,12,128215.0,3495.0,117.77,59.34
Florianópolis,Coqueiros,2090.05,41.13,4586.22,24.34,10294.12,5,703728.0,6000.0,171.14,152.21
São José,Praia Comprida,1895.03,57.8,2577.89,25.88,5294.12,5,373296.0,2890.0,122.44,68.0
Florianópolis,Bom Abrigo,1552.03,68.18,2605.29,27.64,4560.26,3,475333.33,15000.0,308.33,307.0
Florianópolis,Centro,1388.64,55.03,3447.95,21.81,12556.24,28,121400.71,4500.0,89.5,66.1
São José,Barreiros,1256.44,32.31,3092.83,20.0,10000.0,21,126848.0,1900.0,59.77,56.14
Florianópolis,Itacorubí,1135.5,59.85,3570.71,34.17,13084.8,23,74414.65,3990.0,77.87,72.3
São José,Forquilhinhas,1088.74,33.19,2410.74,6.62,7361.96,10,113622.0,2295.0,95.45,83.75
Florianópolis,Trindade,1007.94,110.21,2868.79,42.22,9171.97,10,148575.0,4500.0,67.04,52.0
Florianópolis,Jardim Atlântico,686.28,37.21,1761.6,28.17,5757.58,16,58542.5,2450.0,93.34,66.0
São José,Potecas,183.0,46.11,257.3,23.08,479.8,3,65163.33,3000.0,193.33,130.0
Florianópolis,Santo Antônio De Lisboa,135.14,135.14,,135.14,135.14,1,8500.0,8500.0,62.9,62.9
Florianópolis,Jurerê,112.08,112.08,6.48,107.5,116.67,2,3900.0,3900.0,35.0,35.0
Florianópolis,Agronômica,71.61,64.29,25.09,43.1,113.41,9,5711.11,5400.0,77.86,73.0
Florianópolis,Lagoa Da Conceição,64.17,64.17,8.25,58.33,70.0,2,5250.0,5250.0,80.0,80.0
Florianópolis,Pantanal,62.5,62.5,,62.5,62.5,1,2500.0,2500.0,40.0,40.0
São José,Kobrasol,47.39,41.67,24.12,19.71,83.33,5,5276.0,3000.0,131.8,72.0
São José,Fazenda Santo Antônio,44.49,44.49,3.23,42.2,46.77,2,2595.0,2595.0,58.36,58.36
Florianópolis,Saco Grande I,43.33,43.33,,43.33,43.33,1,6500.0,6500.0,150.0,150.0
São José,Nossa Senhora Do Rosário,40.76,40.76,2.05,39.31,42.2,2,2440.0,2440.0,59.9,59.9
Florianópolis,Ingleses Do Rio Vermelho,37.29,37.29,,37.29,37.29,1,1790.0,1790.0,48.0,48.0
Florianópolis,Córrego Grande,37.15,37.14,1.08,36.08,38.24,3,3183.33,3250.0,86.2,85.0
São José,Picadas Do Sul,35.85,35.85,1.56,34.75,36.95,2,2170.0,2170.0,59.92,59.92
